Area,MajorAxisLength,MinorAxisLength,AspectRation,Roundness,Class
6653,126.1605578,68.49752094,1.841826624,0.825859562,0
7133,130.3574964,70.57163138,1.847165694,0.854461251,0
7119,130.8629869,70.70266815,1.850891775,0.812265675,0
6912,128.5573419,69.36134769,1.853443542,0.832737366,1
5697,119.0974783,62.91962022,1.892851194,0.806164288,0
7674,137.0147872,72.35934387,1.893532747,0.756824158,0
7854,138.5417523,73.04703605,1.896610181,0.829403379,1
7707,138.4325172,72.95462521,1.897515295,0.815775292,1
7110,131.6199571,69.35895275,1.897663559,0.846481499,0
9010,148.2530744,78.09820684,1.898298949,0.839755708,1
8374,144.1118047,75.88318277,1.899127603,0.815886553,1
7853,139.8293683,73.54952934,1.901159254,0.813081436,1
7069,132.1177819,69.48734685,1.901321433,0.805075431,1
6905,130.5599279,68.65437572,1.901698567,0.827333062,1
6460,126.7309043,66.57552019,1.903566114,0.819610468,1
8009,140.2474649,73.61332704,1.905191228,0.833841538,0
6406,125.3342856,65.78398032,1.905240227,0.846582832,0
7088,132.2518585,69.37589209,1.906308583,0.830206077,0
9548,153.4248832,80.47254846,1.906549328,0.817058477,0
6597,127.9053467,67.04974853,1.907618589,0.819964037,0
6830,130.4570377,68.36062907,1.908207047,0.794428731,1
6854,129.9525502,68.09948859,1.908275007,0.823473753,0
7363,134.8808587,70.65521399,1.909000781,0.831008038,1
10096,157.6197294,82.55076212,1.909367344,0.733401317,0
8372,143.8002061,75.28227639,1.910171529,0.814307977,1
6559,127.4991604,66.74508697,1.910240381,0.804955677,0
6127,122.8308362,64.27232513,1.911099932,0.834151698,1
9704,154.3684861,80.72039491,1.912380517,0.817514813,0
9012,148.8624141,77.82338461,1.912823695,0.825634034,1
7981,141.1245867,73.77525691,1.912898615,0.793097484,0
7819,139.3952517,72.82886934,1.914010926,0.817025615,1
8730,149.2424256,75.17400182,1.985290308,0.808669653,0
7530,139.0483731,70.02021875,1.985775911,0.810851168,1
6365,127.6286948,64.25836081,1.986180369,0.817852032,0
9150,153.1562425,77.06723487,1.987306834,0.799306535,0
8604,148.4063435,74.66667943,1.987584619,0.817613134,0
9436,155.5758555,78.27337153,1.987596196,0.796578028,1
7598,139.4146048,70.14114768,1.987629365,0.818547351,0
9926,159.1370172,80.05315215,1.987891956,0.808254829,1
6017,124.4081223,62.56877363,1.988342028,0.821272261,0
7604,139.6499071,70.22536129,1.988596492,0.804919605,0
7955,143.3972884,72.10048897,1.988853202,0.791711113,1
6886,132.8564591,66.79504133,1.989016797,0.824552348,0
7691,140.4593222,70.61253818,1.98915555,0.819013668,1
8997,152.0101197,76.40877606,1.989432727,0.75759253,0
6023,124.8402723,62.74827115,1.989580282,0.805100501,1
7332,137.6393582,69.16857352,1.989911765,0.781652773,0
7201,136.2737828,68.46738832,1.990345859,0.794344325,1
8393,147.0207541,73.86529128,1.99039023,0.756836032,0
7171,135.4038177,68.02002596,1.990571157,0.828190563,0
7258,136.6326593,68.63301173,1.990771728,0.827726225,1
8711,150.3154394,74.79505593,2.009697533,0.799019852,0
8339,147.6187933,73.45167133,2.009740427,0.758140078,1
6118,126.5701393,62.97803597,2.009007505,0.794800804,0
7679,141.0559284,70.17647817,2.010017203,0.807057995,0
8567,149.4813697,74.36355923,2.010142753,0.772427102,1
7824,142.7306936,70.99417134,2.010456505,0.799086549,0
8468,147.8561015,73.54072516,2.010533635,0.788591162,1
9129,153.7793007,76.46681462,2.011059326,0.803137033,0
9173,154.3003327,76.72738473,2.011059383,0.789357948,0
7612,140.6036033,69.92502589,2.011023364,0.811375503,1
7107,135.4854839,67.35843805,2.011410714,0.810784109,0
7345,138.0368158,68.60173197,2.011690582,0.817604441,0
7708,141.1298506,70.15226714,2.011764642,0.791443816,1
8363,147.3111728,73.22066689,2.011879692,0.798721603,0
6218,126.8290037,63.03265019,2.012115996,0.828489116,0
7676,141.4541336,70.30021664,2.012143637,0.804075615,1
7697,141.0046384,70.07610994,2.012164182,0.691109157,0
8584,150.4249238,74.75430896,2.012257566,0.779286146,0
6854,132.9959291,66.09259568,2.012266696,0.796575506,1
6873,133.6622456,66.41398138,2.012561856,0.801194059,0
7903,143.0772511,71.08280568,2.012825039,0.795690318,0
6958,134.4821148,66.79946599,2.013221406,0.802476244,0
7563,140.6430907,69.85529498,2.013349034,0.784734982,0
8620,149.4043345,74.19101026,2.013707698,0.822010868,0
8867,151.3524621,75.14923889,2.014025216,0.826162216,1
8852,151.5107608,75.22690914,2.014050059,0.808275921,0
7169,136.6589882,67.85259174,2.014057012,0.76715536,1
7791,142.9047822,70.94439234,2.014320104,0.783832526,1
8638,149.3424104,74.13723943,2.014404792,0.825750629,1
7254,138.0020508,68.50695726,2.014423881,0.810386833,1
8793,150.7862392,74.85286143,2.014435203,0.799424083,1
7815,142.9770228,70.96880668,2.014646004,0.804466495,1
8546,148.7931062,73.83238007,2.015282537,0.801522391,1
7701,141.4178808,70.16746004,2.015433946,0.798214128,1
8639,149.8917449,74.36219469,2.01569824,0.810142972,1
9105,153.9820916,76.38084973,2.015977723,0.790287399,1
8991,152.3350096,75.56140612,2.016042547,0.803422047,1
9516,157.3407379,78.03737549,2.016222828,0.777947634,1
8598,149.9996866,74.39016527,2.016391361,0.682734023,1
9690,158.8139921,78.75819529,2.016475765,0.800612275,1
8398,147.5612274,73.17731881,2.016488576,0.820233514,1
